Mass_ratio,5.0000e-01,6.0714e-01,7.3724e-01,8.9521e-01,1.0870e+00,1.3200e+00,1.6028e+00,1.9463e+00,2.3633e+00,2.8697e+00,3.4847e+00,4.2313e+00,5.1380e+00,6.2390e+00,7.5759e+00,9.1993e+00,1.1171e+01,1.3564e+01,1.6471e+01,2.0000e+01
1.0000e-06,5.6914e-02±3.0967e-01,2.8704e-02±3.1829e-01,1.1044e-01±3.3808e-01,5.6554e-02±3.6631e-01,-1.2596e-01±3.6432e-01,2.9899e-01±3.6860e-01,3.3679e-01±4.2483e-01,5.3623e-01±4.6114e-01,7.6068e-01±4.9938e-01,8.9871e-01±5.2627e-01,9.3533e-01±6.4208e-01,1.7687e+00±6.6631e-01,1.3859e+00±7.3199e-01,2.2066e+00±8.5713e-01,3.0383e+00±9.7272e-01,3.8314e+00±1.0905e+00,2.8744e+00±1.1086e+00,3.6347e+00±1.1442e+00,3.6147e+00±1.0500e+00,1.1349e+00±1.1869e+00
1.5000e-06,1.1251e-01±2.2661e-01,-4.7454e-02±2.4733e-01,-3.8887e-02±2.4269e-01,-6.7321e-03±2.8229e-01,2.7638e-01±2.8304e-01,6.3621e-03±3.0141e-01,5.0737e-01±3.2320e-01,4.4426e-01±3.4022e-01,2.0487e-01±4.0946e-01,5.7243e-01±4.0960e-01,7.8846e-01±4.3828e-01,9.5327e-01±4.9677e-01,1.3239e+00±5.3915e-01,1.3855e+00±6.3876e-01,1.6238e+00±6.9301e-01,1.4146e+00±8.0996e-01,2.2119e+00±7.4123e-01,3.4904e+00±7.6416e-01,3.1685e+00±7.2433e-01,1.1590e+00±8.3256e-01
2.0000e-06,-1.2798e-02±2.0643e-01,-1.7095e-01±2.3722e-01,1.0410e-02±2.3922e-01,-2.1763e-02±2.3895e-01,1.1908e-01±2.5758e-01,9.2625e-02±2.6878e-01,3.4710e-01±3.1208e-01,2.8671e-01±3.2220e-01,3.1019e-01±3.4691e-01,6.0893e-01±3.9615e-01,7.7581e-01±4.1482e-01,6.0239e-01±4.7061e-01,1.0740e+00±5.1655e-01,1.1583e+00±5.8028e-01,1.1441e+00±6.5433e-01,1.0588e+00±6.7410e-01,2.2089e+00±6.8071e-01,3.1543e+00±6.6571e-01,2.6357e+00±5.7311e-01,1.3950e+00±8.0224e-01
3.3330e-06,-4.0753e-02±1.2325e-01,-7.3436e-02±1.4044e-01,-1.4738e-02±1.3994e-01,7.3428e-03±1.4864e-01,1.9078e-02±1.6221e-01,-8.8755e-03±1.7018e-01,1.2005e-01±1.8623e-01,2.7074e-01±1.8360e-01,2.7615e-01±1.9840e-01,2.7847e-01±2.1860e-01,4.4855e-01±2.3024e-01,5.0619e-01±2.5377e-01,7.5041e-01±3.0135e-01,7.5401e-01±3.1822e-01,4.6232e-01±3.4465e-01,1.2414e+00±3.2409e-01,2.3777e+00±3.1881e-01,2.4477e+00±3.5602e-01,2.1163e+00±3.3126e-01,1.0360e+00±3.6509e-01
5.0000e-06,-3.0042e-02±8.8268e-02,-2.8224e-02±1.0245e-01,-3.3256e-02±9.9696e-02,-2.8540e-02±9.9382e-02,1.0232e-02±9.6596e-02,2.1279e-02±1.1732e-01,1.0701e-01±1.2942e-01,1.3023e-01±1.2563e-01,1.9916e-01±1.4379e-01,2.6420e-01±1.3923e-01,3.6706e-01±1.6410e-01,4.7752e-01±1.6337e-01,5.8706e-01±1.8624e-01,3.7481e-01±1.9703e-01,6.2529e-01±1.9998e-01,1.4127e+00±1.8628e-01,1.9809e+00±1.9121e-01,1.9573e+00±1.9255e-01,1.5119e+00±1.8528e-01,1.1038e+00±2.0246e-01
7.0000e-06,-4.8729e-02±9.1902e-02,-6.0487e-02±8.8626e-02,-9.3180e-02±9.9437e-02,-2.7054e-02±1.0586e-01,-5.4523e-02±1.0404e-01,-1.7619e-02±1.1157e-01,9.0033e-03±1.1255e-01,1.0746e-01±1.2253e-01,1.7001e-01±1.3680e-01,1.7343e-01±1.4442e-01,3.5344e-01±1.6185e-01,4.4953e-01±1.5751e-01,3.2091e-01±1.6300e-01,4.8758e-01±1.9042e-01,8.7803e-01±1.9115e-01,1.5084e+00±1.6482e-01,1.7117e+00±1.7238e-01,1.5513e+00±1.7842e-01,1.4278e+00±1.7554e-01,1.0492e+00±1.8752e-01
1.0000e-05,-1.3370e-02±6.4206e-02,-4.9710e-02±6.0558e-02,-7.4690e-03±6.6826e-02,-5.9564e-02±6.9206e-02,-3.1099e-02±7.6260e-02,-6.4567e-02±8.1929e-02,3.0370e-02±7.9584e-02,1.0750e-01±8.7742e-02,1.0493e-01±8.9845e-02,2.0762e-01±9.3544e-02,3.5150e-01±1.0297e-01,3.6255e-01±1.1266e-01,4.4459e-01±1.2420e-01,6.6556e-01±1.1165e-01,1.0347e+00±1.0962e-01,1.3393e+00±1.1156e-01,1.4090e+00±1.0835e-01,1.2990e+00±1.0697e-01,1.1965e+00±1.0651e-01,1.0994e+00±1.1568e-01
1.5000e-05,-5.0827e-02±4.5914e-02,-3.8170e-02±4.2105e-02,-2.4861e-02±4.3197e-02,-2.0349e-02±4.8596e-02,-4.6181e-02±5.2678e-02,-9.6452e-03±5.5738e-02,9.7398e-03±5.7720e-02,1.5539e-02±6.2979e-02,5.6448e-02±6.4806e-02,1.2024e-01±6.6534e-02,2.1480e-01±6.6085e-02,3.1252e-01±7.7184e-02,4.8543e-01±7.1015e-02,7.7810e-01±7.0600e-02,1.0532e+00±7.2826e-02,1.1784e+00±6.1859e-02,1.2984e+00±6.4147e-02,1.1731e+00±6.0524e-02,1.1022e+00±6.2051e-02,1.1510e+00±6.9680e-02
2.0000e-05,-1.8959e-02±3.2834e-02,-5.7947e-02±3.2190e-02,-2.7715e-02±3.6160e-02,-5.2873e-02±3.6636e-02,-5.4102e-02±3.7863e-02,-1.7925e-02±4.1251e-02,-5.7196e-02±4.7183e-02,1.7035e-02±4.5714e-02,4.2425e-02±4.7926e-02,1.3344e-01±5.1907e-02,1.7868e-01±5.1431e-02,3.1799e-01±5.2754e-02,5.0696e-01±5.1591e-02,7.6103e-01±4.9559e-02,9.8996e-01±4.6323e-02,1.0506e+00±4.3212e-02,1.1550e+00±4.4719e-02,1.0784e+00±4.5398e-02,1.0567e+00±4.3862e-02,1.2189e+00±4.5639e-02
3.0000e-05,-5.1383e-02±2.2121e-02,-6.0256e-02±2.3832e-02,-4.4833e-02±2.3430e-02,-4.7550e-02±2.4534e-02,-5.4661e-02±2.6987e-02,-5.5542e-02±2.8747e-02,-4.1738e-02±2.9618e-02,-2.5836e-02±2.9419e-02,4.9546e-02±3.2782e-02,8.3412e-02±3.5578e-02,1.8549e-01±3.6831e-02,3.1421e-01±4.7384e-02,5.2869e-01±3.8465e-02,7.1490e-01±3.3765e-02,8.4220e-01±3.1695e-02,8.5989e-01±2.6963e-02,9.7114e-01±2.6624e-02,8.8516e-01±2.6648e-02,9.2469e-01±2.7296e-02,1.1635e+00±2.8290e-02
