# id: Particle id
# t: time in code units
# a: semi-major axis in code units
# e: eccentricity 
# i: inclination in rad [0, pi]
# Omega: longitude of ascending node in rad [0, 2pi]
# omega: argument of pericentre in rad [0, 2pi]
# f: true anomaly in rad [0, 2pi]
# P: period in code units
# E: eccentric anomaly in rad [0, 2pi]
# M: mean anomaly in rad [0, 2pi]
#id   t              a              e              i              Omega          omega          f              P              E              M           
1     0.000000e+00   1.000000e+00   5.554968e-16   0.000000e+00   0.000000e+00   0.000000e+00   5.000000e-01   9.999950e-01   5.000000e-01   5.000000e-01
1     9.906603e-02   1.000010e+00   9.790841e-06   0.000000e+00   0.000000e+00   4.906512e-01   6.318014e-01   1.000015e+00   6.317956e-01   6.317898e-01
1     1.984174e-01   1.000009e+00   9.422907e-06   0.000000e+00   0.000000e+00   4.309754e-01   1.315719e+00   1.000013e+00   1.315709e+00   1.315700e+00
1     2.996621e-01   1.000008e+00   9.565738e-06   0.000000e+00   0.000000e+00   3.169533e-01   2.065871e+00   1.000011e+00   2.065862e+00   2.065854e+00
1     3.989928e-01   1.000007e+00   1.058929e-05   0.000000e+00   0.000000e+00   2.284180e-01   2.778504e+00   1.000008e+00   2.778500e+00   2.778496e+00
1     4.983219e-01   1.000005e+00   1.209553e-05   0.000000e+00   0.000000e+00   2.215705e-01   3.409436e+00   1.000005e+00   3.409440e+00   3.409443e+00
1     5.995568e-01   1.000003e+00   1.341477e-05   0.000000e+00   0.000000e+00   2.842192e-01   3.982849e+00   1.000002e+00   3.982859e+00   3.982869e+00
1     6.988724e-01   1.000002e+00   1.404675e-05   0.000000e+00   0.000000e+00   3.729344e-01   4.518145e+00   9.999992e-01   4.518159e+00   4.518172e+00
1     7.981756e-01   1.000001e+00   1.398857e-05   0.000000e+00   0.000000e+00   4.512632e-01   5.063759e+00   9.999970e-01   5.063772e+00   5.063785e+00
1     8.993749e-01   1.000000e+00   1.357331e-05   0.000000e+00   0.000000e+00   4.949966e-01   5.655892e+00   9.999955e-01   5.655900e+00   5.655908e+00
1     9.986602e-01   1.000000e+00   1.332883e-05   0.000000e+00   0.000000e+00   5.033857e-01   6.271349e+00   9.999949e-01   6.271350e+00   6.271350e+00
1     1.099844e+00   9.999999e-01   1.330958e-05   0.000000e+00   0.000000e+00   5.031844e-01   6.241435e-01   9.999949e-01   6.241357e-01   6.241279e-01
1     1.199106e+00   9.999999e-01   1.329566e-05   0.000000e+00   0.000000e+00   5.019154e-01   1.249105e+00   9.999949e-01   1.249092e+00   1.249080e+00
1     1.298368e+00   9.999999e-01   1.329668e-05   0.000000e+00   0.000000e+00   5.000885e-01   1.874616e+00   9.999948e-01   1.874603e+00   1.874591e+00
1     1.399546e+00   9.999999e-01   1.331502e-05   0.000000e+00   0.000000e+00   4.986692e-01   2.511749e+00   9.999948e-01   2.511741e+00   2.511733e+00
1     1.498823e+00   9.999998e-01   1.334157e-05   0.000000e+00   0.000000e+00   4.984982e-01   3.135685e+00   9.999948e-01   3.135685e+00   3.135685e+00
1     1.598106e+00   9.999998e-01   1.336303e-05   0.000000e+00   0.000000e+00   4.996484e-01   3.758333e+00   9.999947e-01   3.758340e+00   3.758348e+00
1     1.699297e+00   9.999998e-01   1.336970e-05   0.000000e+00   0.000000e+00   5.015604e-01   4.392221e+00   9.999947e-01   4.392233e+00   4.392246e+00
1     1.798577e+00   9.999998e-01   1.335849e-05   0.000000e+00   0.000000e+00   5.033751e-01   5.014199e+00   9.999946e-01   5.014212e+00   5.014225e+00
1     1.899759e+00   9.999997e-01   1.333189e-05   0.000000e+00   0.000000e+00   5.044262e-01   5.648908e+00   9.999946e-01   5.648916e+00   5.648924e+00
