# id: Particle id
# t: time in code units
# a: semi-major axis in code units
# e: eccentricity 
# i: inclination in rad [0, pi]
# Omega: longitude of ascending node in rad [0, 2pi]
# omega: argument of pericentre in rad [0, 2pi]
# f: true anomaly in rad [0, 2pi]
# P: period in code units
# E: eccentric anomaly in rad [0, 2pi]
# M: mean anomaly in rad [0, 2pi]
#id   t              a              e              i              Omega          omega          f              P              E              M           
1     0.000000e+00   1.000000e+00   7.780129e-16   0.000000e+00   0.000000e+00   0.000000e+00   5.000000e-01   9.999995e-01   5.000000e-01   5.000000e-01
1     9.957534e-02   1.000001e+00   9.787856e-07   0.000000e+00   0.000000e+00   4.905748e-01   6.350758e-01   1.000001e+00   6.350752e-01   6.350746e-01
1     1.996180e-01   1.000001e+00   9.417939e-07   0.000000e+00   0.000000e+00   4.299053e-01   1.324331e+00   1.000001e+00   1.324331e+00   1.324330e+00
1     2.996445e-01   1.000001e+00   9.562835e-07   0.000000e+00   0.000000e+00   3.169327e-01   2.065788e+00   1.000001e+00   2.065787e+00   2.065786e+00
1     3.996687e-01   1.000001e+00   1.059586e-06   0.000000e+00   0.000000e+00   2.279610e-01   2.783229e+00   1.000001e+00   2.783228e+00   2.783228e+00
1     4.996957e-01   1.000001e+00   1.211344e-06   0.000000e+00   0.000000e+00   2.218987e-01   3.417777e+00   1.000001e+00   3.417778e+00   3.417778e+00
1     5.997224e-01   1.000000e+00   1.341309e-06   0.000000e+00   0.000000e+00   2.841828e-01   3.983978e+00   1.000000e+00   3.983979e+00   3.983980e+00
1     6.997448e-01   1.000000e+00   1.404559e-06   0.000000e+00   0.000000e+00   3.734314e-01   4.523188e+00   9.999999e-01   4.523190e+00   4.523191e+00
1     7.997608e-01   1.000000e+00   1.398251e-06   0.000000e+00   0.000000e+00   4.518309e-01   5.073208e+00   9.999997e-01   5.073209e+00   5.073211e+00
1     8.997711e-01   1.000000e+00   1.357638e-06   0.000000e+00   0.000000e+00   4.946615e-01   5.658762e+00   9.999995e-01   5.658763e+00   5.658763e+00
1     9.997780e-01   1.000000e+00   1.333837e-06   0.000000e+00   0.000000e+00   5.034381e-01   6.278349e+00   9.999995e-01   6.278349e+00   6.278349e+00
1     1.099784e+00   1.000000e+00   1.331744e-06   0.000000e+00   0.000000e+00   5.039886e-01   6.229715e-01   9.999995e-01   6.229707e-01   6.229700e-01
1     1.199790e+00   1.000000e+00   1.329315e-06   0.000000e+00   0.000000e+00   5.032155e-01   1.252100e+00   9.999995e-01   1.252099e+00   1.252098e+00
1     1.299795e+00   1.000000e+00   1.328031e-06   0.000000e+00   0.000000e+00   5.011674e-01   1.882501e+00   9.999995e-01   1.882500e+00   1.882498e+00
1     1.399799e+00   1.000000e+00   1.328922e-06   0.000000e+00   0.000000e+00   4.987667e-01   2.513246e+00   9.999995e-01   2.513245e+00   2.513245e+00
1     1.499801e+00   1.000000e+00   1.331891e-06   0.000000e+00   0.000000e+00   4.972666e-01   3.143076e+00   9.999995e-01   3.143076e+00   3.143076e+00
1     1.599802e+00   1.000000e+00   1.335673e-06   0.000000e+00   0.000000e+00   4.975343e-01   3.771127e+00   9.999995e-01   3.771128e+00   3.771129e+00
1     1.699799e+00   1.000000e+00   1.338539e-06   0.000000e+00   0.000000e+00   4.995701e-01   4.397391e+00   9.999995e-01   4.397392e+00   4.397394e+00
1     1.799793e+00   1.000000e+00   1.339212e-06   0.000000e+00   0.000000e+00   5.025206e-01   5.022726e+00   9.999995e-01   5.022728e+00   5.022729e+00
1     1.899791e+00   1.000000e+00   1.337470e-06   0.000000e+00   0.000000e+00   5.051800e-01   5.648370e+00   9.999995e-01   5.648371e+00   5.648372e+00
1     1.999790e+00   1.000000e+00   1.334084e-06   0.000000e+00   0.000000e+00   5.065842e-01   6.275281e+00   9.999994e-01   6.275281e+00   6.275281e+00
1     2.099789e+00   1.000000e+00   1.330266e-06   0.000000e+00   0.000000e+00   5.063055e-01   6.206868e-01   9.999994e-01   6.206860e-01   6.206852e-01
1     2.199786e+00   1.000000e+00   1.327336e-06   0.000000e+00   0.000000e+00   5.043940e-01   1.250899e+00   9.999994e-01   1.250898e+00   1.250897e+00
1     2.299782e+00   1.000000e+00   1.326373e-06   0.000000e+00   0.000000e+00   5.014046e-01   1.882182e+00   9.999994e-01   1.882181e+00   1.882180e+00
1     2.399777e+00   9.999999e-01   1.328032e-06   0.000000e+00   0.000000e+00   4.983809e-01   2.513496e+00   9.999994e-01   2.513495e+00   2.513494e+00
1     2.499773e+00   9.999999e-01   1.331959e-06   0.000000e+00   0.000000e+00   4.965991e-01   3.143570e+00   9.999994e-01   3.143570e+00   3.143570e+00
1     2.599770e+00   9.999999e-01   1.336668e-06   0.000000e+00   0.000000e+00   4.969286e-01   3.771537e+00   9.999994e-01   3.771537e+00   3.771538e+00
1     2.699767e+00   9.999999e-01   1.340240e-06   0.000000e+00   0.000000e+00   4.992983e-01   4.397464e+00   9.999994e-01   4.397466e+00   4.397467e+00
1     2.799763e+00   9.999999e-01   1.341218e-06   0.000000e+00   0.000000e+00   5.027401e-01   5.022319e+00   9.999994e-01   5.022320e+00   5.022321e+00
1     2.899759e+00   9.999999e-01   1.339390e-06   0.000000e+00   0.000000e+00   5.058118e-01   5.647540e+00   9.999994e-01   5.647541e+00   5.647542e+00
1     2.999754e+00   9.999999e-01   1.335710e-06   0.000000e+00   0.000000e+00   5.074652e-01   6.274178e+00   9.999994e-01   6.274178e+00   6.274178e+00
1     3.099749e+00   9.999999e-01   1.331550e-06   0.000000e+00   0.000000e+00   5.072613e-01   6.194854e-01   9.999994e-01   6.194847e-01   6.194839e-01
1     3.199744e+00   9.999999e-01   1.328355e-06   0.000000e+00   0.000000e+00   5.053882e-01   1.249649e+00   9.999994e-01   1.249648e+00   1.249647e+00
1     3.299740e+00   9.999999e-01   1.327102e-06   0.000000e+00   0.000000e+00   5.025893e-01   1.880738e+00   9.999994e-01   1.880737e+00   1.880735e+00
1     3.399734e+00   9.999999e-01   1.328142e-06   0.000000e+00   0.000000e+00   4.997821e-01   2.511829e+00   9.999994e-01   2.511828e+00   2.511827e+00
1     3.499730e+00   9.999999e-01   1.331109e-06   0.000000e+00   0.000000e+00   4.978913e-01   3.142009e+00   9.999994e-01   3.142009e+00   3.142009e+00
1     3.599726e+00   9.999999e-01   1.335100e-06   0.000000e+00   0.000000e+00   4.976326e-01   3.770563e+00   9.999993e-01   3.770563e+00   3.770564e+00
1     3.699721e+00   9.999999e-01   1.338647e-06   0.000000e+00   0.000000e+00   4.992569e-01   4.397226e+00   9.999993e-01   4.397227e+00   4.397228e+00
