# id: Particle id
# t: time in code units
# a: semi-major axis in code units
# e: eccentricity 
# i: inclination in rad [0, pi]
# Omega: longitude of ascending node in rad [0, 2pi]
# omega: argument of pericentre in rad [0, 2pi]
# f: true anomaly in rad [0, 2pi]
# P: period in code units
# E: eccentric anomaly in rad [0, 2pi]
# M: mean anomaly in rad [0, 2pi]
#id   t              a              e              i              Omega          omega          f              P              E              M           
1     0.000000e+00   1.000000e+00   7.773294e-16   0.000000e+00   0.000000e+00   0.000000e+00   5.000000e-01   9.999983e-01   5.000000e-01   5.000000e-01
1     9.957533e-02   1.000003e+00   3.259462e-06   0.000000e+00   0.000000e+00   4.904914e-01   6.351596e-01   1.000005e+00   6.351577e-01   6.351557e-01
1     1.996179e-01   1.000003e+00   3.136580e-06   0.000000e+00   0.000000e+00   4.297659e-01   1.324470e+00   1.000004e+00   1.324467e+00   1.324464e+00
1     2.996441e-01   1.000003e+00   3.185202e-06   0.000000e+00   0.000000e+00   3.168312e-01   2.065885e+00   1.000004e+00   2.065883e+00   2.065880e+00
1     3.996678e-01   1.000002e+00   3.529421e-06   0.000000e+00   0.000000e+00   2.279637e-01   2.783215e+00   1.000003e+00   2.783214e+00   2.783213e+00
1     4.996939e-01   1.000002e+00   4.034778e-06   0.000000e+00   0.000000e+00   2.219830e-01   3.417672e+00   1.000002e+00   3.417673e+00   3.417674e+00
1     5.997193e-01   1.000001e+00   4.467407e-06   0.000000e+00   0.000000e+00   2.843055e-01   3.983823e+00   1.000001e+00   3.983826e+00   3.983830e+00
1     6.997399e-01   1.000001e+00   4.677796e-06   0.000000e+00   0.000000e+00   3.735622e-01   4.523011e+00   9.999997e-01   4.523016e+00   4.523021e+00
1     7.997536e-01   1.000000e+00   4.656525e-06   0.000000e+00   0.000000e+00   4.519465e-01   5.073033e+00   9.999990e-01   5.073037e+00   5.073041e+00
1     8.997612e-01   1.000000e+00   4.521053e-06   0.000000e+00   0.000000e+00   4.947358e-01   5.658614e+00   9.999985e-01   5.658616e+00   5.658619e+00
1     9.997651e-01   1.000000e+00   4.441689e-06   0.000000e+00   0.000000e+00   5.034406e-01   6.278258e+00   9.999983e-01   6.278258e+00   6.278259e+00
1     1.099767e+00   1.000000e+00   4.434812e-06   0.000000e+00   0.000000e+00   5.039032e-01   6.229491e-01   9.999983e-01   6.229465e-01   6.229439e-01
