# id: Particle id
# t: time in code units
# a: semi-major axis in code units
# e: eccentricity 
# i: inclination in rad [0, pi]
# Omega: longitude of ascending node in rad [0, 2pi]
# omega: argument of pericentre in rad [0, 2pi]
# f: true anomaly in rad [0, 2pi]
# P: period in code units
# E: eccentric anomaly in rad [0, 2pi]
# M: mean anomaly in rad [0, 2pi]
#id   t              a              e              i              Omega          omega          f              P              E              M           
1     0.000000e+00   1.000000e+00   5.554968e-16   0.000000e+00   0.000000e+00   0.000000e+00   5.000000e-01   9.999950e-01   5.000000e-01   5.000000e-01
1     9.957531e-02   1.000010e+00   9.788265e-06   0.000000e+00   0.000000e+00   4.904679e-01   6.351846e-01   1.000015e+00   6.351788e-01   6.351730e-01
1     1.996177e-01   1.000009e+00   9.419506e-06   0.000000e+00   0.000000e+00   4.297264e-01   1.324509e+00   1.000013e+00   1.324499e+00   1.324490e+00
1     2.996431e-01   1.000008e+00   9.565821e-06   0.000000e+00   0.000000e+00   3.168033e-01   2.065901e+00   1.000011e+00   2.065893e+00   2.065884e+00
1     3.996653e-01   1.000007e+00   1.059966e-05   0.000000e+00   0.000000e+00   2.279647e-01   2.783182e+00   1.000008e+00   2.783179e+00   2.783175e+00
1     4.996889e-01   1.000005e+00   1.211720e-05   0.000000e+00   0.000000e+00   2.220023e-01   3.417593e+00   1.000005e+00   3.417597e+00   3.417600e+00
1     5.997104e-01   1.000003e+00   1.341624e-05   0.000000e+00   0.000000e+00   2.843282e-01   3.983705e+00   1.000002e+00   3.983715e+00   3.983725e+00
1     6.997257e-01   1.000002e+00   1.404792e-05   0.000000e+00   0.000000e+00   3.735799e-01   4.522861e+00   9.999992e-01   4.522875e+00   4.522888e+00
1     7.997329e-01   1.000001e+00   1.398393e-05   0.000000e+00   0.000000e+00   4.519573e-01   5.072850e+00   9.999969e-01   5.072863e+00   5.072876e+00
1     8.997327e-01   1.000000e+00   1.357693e-05   0.000000e+00   0.000000e+00   4.947371e-01   5.658400e+00   9.999955e-01   5.658407e+00   5.658415e+00
1     9.997279e-01   1.000000e+00   1.333833e-05   0.000000e+00   0.000000e+00   5.034052e-01   6.278039e+00   9.999950e-01   6.278039e+00   6.278039e+00
1     1.099719e+00   1.000000e+00   1.331784e-05   0.000000e+00   0.000000e+00   5.038100e-01   6.227288e-01   9.999949e-01   6.227211e-01   6.227133e-01
1     1.199699e+00   9.999999e-01   1.329511e-05   0.000000e+00   0.000000e+00   5.029314e-01   1.251818e+00   9.999949e-01   1.251805e+00   1.251793e+00
1     1.299669e+00   9.999999e-01   1.328413e-05   0.000000e+00   0.000000e+00   5.008838e-01   1.881993e+00   9.999949e-01   1.881980e+00   1.881968e+00
1     1.399625e+00   9.999999e-01   1.329439e-05   0.000000e+00   0.000000e+00   4.985681e-01   2.512350e+00   9.999948e-01   2.512342e+00   2.512334e+00
1     1.499571e+00   9.999998e-01   1.332467e-05   0.000000e+00   0.000000e+00   4.971985e-01   3.141682e+00   9.999948e-01   3.141682e+00   3.141682e+00
1     1.599508e+00   9.999998e-01   1.336214e-05   0.000000e+00   0.000000e+00   4.976087e-01   3.769181e+00   9.999947e-01   3.769188e+00   3.769196e+00
1     1.699437e+00   9.999998e-01   1.338949e-05   0.000000e+00   0.000000e+00   4.997514e-01   4.394907e+00   9.999946e-01   4.394919e+00   4.394932e+00
1     1.799364e+00   9.999997e-01   1.339441e-05   0.000000e+00   0.000000e+00   5.027323e-01   5.019787e+00   9.999946e-01   5.019800e+00   5.019812e+00
1     1.899294e+00   9.999997e-01   1.337546e-05   0.000000e+00   0.000000e+00   5.053364e-01   5.645076e+00   9.999945e-01   5.645083e+00   5.645091e+00
1     1.999228e+00   9.999996e-01   1.334082e-05   0.000000e+00   0.000000e+00   5.066384e-01   6.271699e+00   9.999945e-01   6.271700e+00   6.271700e+00
1     2.099165e+00   9.999996e-01   1.330286e-05   0.000000e+00   0.000000e+00   5.062473e-01   6.168474e-01   9.999944e-01   6.168397e-01   6.168320e-01
1     2.199103e+00   9.999996e-01   1.327444e-05   0.000000e+00   0.000000e+00   5.042186e-01   1.246818e+00   9.999943e-01   1.246806e+00   1.246793e+00
1     2.299041e+00   9.999995e-01   1.326643e-05   0.000000e+00   0.000000e+00   5.011610e-01   1.877808e+00   9.999943e-01   1.877795e+00   1.877783e+00
1     2.398978e+00   9.999995e-01   1.328514e-05   0.000000e+00   0.000000e+00   4.981457e-01   2.508741e+00   9.999942e-01   2.508733e+00   2.508726e+00
1     2.498915e+00   9.999994e-01   1.332639e-05   0.000000e+00   0.000000e+00   4.964636e-01   3.138330e+00   9.999941e-01   3.138330e+00   3.138330e+00
1     2.598851e+00   9.999994e-01   1.337443e-05   0.000000e+00   0.000000e+00   4.969677e-01   3.765729e+00   9.999941e-01   3.765737e+00   3.765745e+00
1     2.698786e+00   9.999993e-01   1.340945e-05   0.000000e+00   0.000000e+00   4.995286e-01   4.391074e+00   9.999940e-01   4.391086e+00   4.391099e+00
1     2.798721e+00   9.999993e-01   1.341684e-05   0.000000e+00   0.000000e+00   5.031042e-01   5.015411e+00   9.999939e-01   5.015424e+00   5.015437e+00
1     2.898655e+00   9.999992e-01   1.339515e-05   0.000000e+00   0.000000e+00   5.061950e-01   5.640242e+00   9.999939e-01   5.640250e+00   5.640258e+00
1     2.998590e+00   9.999992e-01   1.335448e-05   0.000000e+00   0.000000e+00   5.077061e-01   6.266660e+00   9.999938e-01   6.266661e+00   6.266661e+00
1     3.098525e+00   9.999991e-01   1.331070e-05   0.000000e+00   0.000000e+00   5.072178e-01   6.118929e-01   9.999937e-01   6.118852e-01   6.118776e-01
1     3.198461e+00   9.999991e-01   1.327918e-05   0.000000e+00   0.000000e+00   5.050237e-01   1.242014e+00   9.999937e-01   1.242002e+00   1.241989e+00
1     3.298396e+00   9.999991e-01   1.326985e-05   0.000000e+00   0.000000e+00   5.019696e-01   1.872985e+00   9.999936e-01   1.872972e+00   1.872960e+00
1     3.398331e+00   9.999990e-01   1.328473e-05   0.000000e+00   0.000000e+00   4.991107e-01   2.503745e+00   9.999935e-01   2.503737e+00   2.503730e+00
1     3.498266e+00   9.999990e-01   1.331822e-05   0.000000e+00   0.000000e+00   4.973972e-01   3.133359e+00   9.999935e-01   3.133359e+00   3.133359e+00
1     3.599955e+00   9.999989e-01   1.335990e-05   0.000000e+00   0.000000e+00   4.974542e-01   3.772221e+00   9.999934e-01   3.772229e+00   3.772236e+00
1     3.699889e+00   9.999989e-01   1.339328e-05   0.000000e+00   0.000000e+00   4.993442e-01   4.398230e+00   9.999933e-01   4.398243e+00   4.398256e+00
1     3.799822e+00   9.999989e-01   1.340510e-05   0.000000e+00   0.000000e+00   5.023939e-01   5.023079e+00   9.999933e-01   5.023092e+00   5.023105e+00
1     3.899754e+00   9.999988e-01   1.338954e-05   0.000000e+00   0.000000e+00   5.053903e-01   5.647994e+00   9.999932e-01   5.648002e+00   5.648010e+00
1     3.999689e+00   9.999988e-01   1.335277e-05   0.000000e+00   0.000000e+00   5.070898e-01   6.274221e+00   9.999932e-01   6.274221e+00   6.274221e+00
1     4.099625e+00   9.999987e-01   1.331000e-05   0.000000e+00   0.000000e+00   5.068279e-01   6.192329e-01   9.999931e-01   6.192252e-01   6.192175e-01
1     4.199561e+00   9.999987e-01   1.327775e-05   0.000000e+00   0.000000e+00   5.047904e-01   1.249203e+00   9.999930e-01   1.249190e+00   1.249177e+00
1     4.299496e+00   9.999986e-01   1.326675e-05   0.000000e+00   0.000000e+00   5.017798e-01   1.880124e+00   9.999930e-01   1.880112e+00   1.880099e+00
1     4.399428e+00   9.999986e-01   1.328069e-05   0.000000e+00   0.000000e+00   4.988511e-01   2.510942e+00   9.999929e-01   2.510934e+00   2.510927e+00
1     4.499360e+00   9.999986e-01   1.331471e-05   0.000000e+00   0.000000e+00   4.971174e-01   3.140553e+00   9.999928e-01   3.140553e+00   3.140553e+00
1     4.599292e+00   9.999985e-01   1.335571e-05   0.000000e+00   0.000000e+00   4.972540e-01   3.768297e+00   9.999928e-01   3.768305e+00   3.768313e+00
1     4.699225e+00   9.999985e-01   1.338785e-05   0.000000e+00   0.000000e+00   4.992181e-01   4.394230e+00   9.999927e-01   4.394243e+00   4.394256e+00
1     4.799161e+00   9.999984e-01   1.339833e-05   0.000000e+00   0.000000e+00   5.022643e-01   5.019100e+00   9.999927e-01   5.019113e+00   5.019126e+00
1     4.899096e+00   9.999984e-01   1.338252e-05   0.000000e+00   0.000000e+00   5.052087e-01   5.644083e+00   9.999926e-01   5.644091e+00   5.644099e+00
1     4.999031e+00   9.999984e-01   1.334633e-05   0.000000e+00   0.000000e+00   5.068816e-01   6.270338e+00   9.999925e-01   6.270339e+00   6.270339e+00
1     5.098964e+00   9.999983e-01   1.330400e-05   0.000000e+00   0.000000e+00   5.066211e-01   6.153344e-01   9.999925e-01   6.153267e-01   6.153190e-01
1     5.198897e+00   9.999983e-01   1.327186e-05   0.000000e+00   0.000000e+00   5.045349e-01   1.245332e+00   9.999924e-01   1.245319e+00   1.245307e+00
1     5.298830e+00   9.999982e-01   1.326206e-05   0.000000e+00   0.000000e+00   5.014272e-01   1.876342e+00   9.999923e-01   1.876329e+00   1.876316e+00
1     5.398764e+00   9.999982e-01   1.327806e-05   0.000000e+00   0.000000e+00   4.985018e-01   2.507164e+00   9.999923e-01   2.507156e+00   2.507148e+00
1     5.498698e+00   9.999982e-01   1.331314e-05   0.000000e+00   0.000000e+00   4.968661e-01   3.136695e+00   9.999922e-01   3.136695e+00   3.136695e+00
1     5.598633e+00   9.999981e-01   1.335368e-05   0.000000e+00   0.000000e+00   4.970819e-01   3.764377e+00   9.999922e-01   3.764385e+00   3.764393e+00
1     5.698567e+00   9.999981e-01   1.338468e-05   0.000000e+00   0.000000e+00   4.990210e-01   4.390341e+00   9.999921e-01   4.390354e+00   4.390367e+00
1     5.798501e+00   9.999980e-01   1.339472e-05   0.000000e+00   0.000000e+00   5.019523e-01   5.015318e+00   9.999920e-01   5.015331e+00   5.015343e+00
1     5.898434e+00   9.999980e-01   1.337992e-05   0.000000e+00   0.000000e+00   5.047867e-01   5.640396e+00   9.999920e-01   5.640404e+00   5.640412e+00
1     5.998367e+00   9.999979e-01   1.334567e-05   0.000000e+00   0.000000e+00   5.064460e-01   6.266653e+00   9.999919e-01   6.266653e+00   6.266653e+00
1     6.098300e+00   9.999979e-01   1.330515e-05   0.000000e+00   0.000000e+00   5.062773e-01   6.115536e-01   9.999919e-01   6.115459e-01   6.115383e-01
1     6.199986e+00   9.999979e-01   1.327373e-05   0.000000e+00   0.000000e+00   5.043068e-01   1.252455e+00   9.999918e-01   1.252442e+00   1.252430e+00
1     6.299920e+00   9.999978e-01   1.326425e-05   0.000000e+00   0.000000e+00   5.013733e-01   1.883297e+00   9.999917e-01   1.883284e+00   1.883272e+00
1     6.399854e+00   9.999978e-01   1.327940e-05   0.000000e+00   0.000000e+00   4.985694e-01   2.514001e+00   9.999917e-01   2.513993e+00   2.513985e+00
1     6.499788e+00   9.999978e-01   1.331333e-05   0.000000e+00   0.000000e+00   4.969634e-01   3.143500e+00   9.999916e-01   3.143500e+00   3.143500e+00
