# id: Particle id
# t: time in code units
# a: semi-major axis in code units
# e: eccentricity 
# i: inclination in rad [0, pi]
# Omega: longitude of ascending node in rad [0, 2pi]
# omega: argument of pericentre in rad [0, 2pi]
# f: true anomaly in rad [0, 2pi]
# P: period in code units
# E: eccentric anomaly in rad [0, 2pi]
# M: mean anomaly in rad [0, 2pi]
#id   t              a              e              i              Omega          omega          f              P              E              M           
1     0.000000e+00   1.000000e+00   7.788357e-16   0.000000e+00   0.000000e+00   0.000000e+00   5.000000e-01   9.999850e-01   5.000000e-01   5.000000e-01
1     9.957525e-02   1.000029e+00   2.936487e-05   0.000000e+00   0.000000e+00   4.904600e-01   6.351967e-01   1.000044e+00   6.351793e-01   6.351618e-01
1     1.996169e-01   1.000027e+00   2.825883e-05   0.000000e+00   0.000000e+00   4.297137e-01   1.324517e+00   1.000039e+00   1.324490e+00   1.324462e+00
1     2.996402e-01   1.000024e+00   2.869795e-05   0.000000e+00   0.000000e+00   3.167966e-01   2.065872e+00   1.000033e+00   2.065847e+00   2.065822e+00
1     3.996579e-01   1.000020e+00   3.179923e-05   0.000000e+00   0.000000e+00   2.279649e-01   2.783087e+00   1.000024e+00   2.783076e+00   2.783065e+00
1     4.996739e-01   1.000015e+00   3.635134e-05   0.000000e+00   0.000000e+00   2.219938e-01   3.417423e+00   1.000015e+00   3.417433e+00   3.417443e+00
1     5.996840e-01   1.000010e+00   4.024828e-05   0.000000e+00   0.000000e+00   2.842984e-01   3.983453e+00   1.000006e+00   3.983483e+00   3.983513e+00
1     6.996836e-01   1.000006e+00   4.214386e-05   0.000000e+00   0.000000e+00   3.735295e-01   4.522515e+00   9.999975e-01   4.522556e+00   4.522598e+00
1     7.996709e-01   1.000003e+00   4.195273e-05   0.000000e+00   0.000000e+00   4.519043e-01   5.072387e+00   9.999908e-01   5.072426e+00   5.072465e+00
1     8.996473e-01   1.000001e+00   4.073163e-05   0.000000e+00   0.000000e+00   4.946992e-01   5.657800e+00   9.999865e-01   5.657824e+00   5.657848e+00
