# id: Particle id
# t: time in code units
# a: semi-major axis in code units
# e: eccentricity 
# i: inclination in rad [0, pi]
# Omega: longitude of ascending node in rad [0, 2pi]
# omega: argument of pericentre in rad [0, 2pi]
# f: true anomaly in rad [0, 2pi]
# P: period in code units
# E: eccentric anomaly in rad [0, 2pi]
# M: mean anomaly in rad [0, 2pi]
#id   t              a              e              i              Omega          omega          f              P              E              M           
1     0.000000e+00   1.000000e+00   4.447223e-16   0.000000e+00   0.000000e+00   0.000000e+00   5.000000e-01   1.000000e+00   5.000000e-01   5.000000e-01
1     9.985257e-02   1.000000e+00   2.434440e-12   0.000000e+00   0.000000e+00   0.000000e+00   1.127392e+00   1.000000e+00   1.127392e+00   1.127392e+00
1     1.996333e-01   1.000000e+00   4.777573e-12   0.000000e+00   0.000000e+00   0.000000e+00   1.754333e+00   1.000000e+00   1.754333e+00   1.754333e+00
1     2.994142e-01   1.000000e+00   6.672056e-12   0.000000e+00   0.000000e+00   0.000000e+00   2.381275e+00   1.000000e+00   2.381275e+00   2.381275e+00
1     3.998361e-01   1.000000e+00   7.940197e-12   0.000000e+00   0.000000e+00   0.000000e+00   3.012244e+00   1.000000e+00   3.012244e+00   3.012244e+00
1     4.996105e-01   1.000000e+00   8.438213e-12   0.000000e+00   0.000000e+00   0.000000e+00   3.639145e+00   1.000000e+00   3.639145e+00   3.639145e+00
1     5.993815e-01   1.000000e+00   8.103214e-12   0.000000e+00   0.000000e+00   0.000000e+00   4.266025e+00   1.000000e+00   4.266025e+00   4.266025e+00
1     6.997936e-01   1.000000e+00   6.946029e-12   0.000000e+00   0.000000e+00   0.000000e+00   4.896933e+00   1.000000e+00   4.896933e+00   4.896933e+00
1     7.995596e-01   1.000000e+00   5.094193e-12   0.000000e+00   0.000000e+00   0.000000e+00   5.523781e+00   1.000000e+00   5.523781e+00   5.523781e+00
1     8.999675e-01   1.000000e+00   2.721760e-12   0.000000e+00   0.000000e+00   0.000000e+00   6.154663e+00   1.000000e+00   6.154663e+00   6.154663e+00
1     9.997304e-01   1.000000e+00   1.324448e-13   0.000000e+00   0.000000e+00   0.000000e+00   4.983059e-01   1.000000e+00   4.983059e-01   4.983059e-01
1     1.099492e+00   1.000000e+00   2.525345e-12   0.000000e+00   0.000000e+00   0.000000e+00   1.125127e+00   1.000000e+00   1.125127e+00   1.125127e+00
1     1.199896e+00   1.000000e+00   4.935901e-12   0.000000e+00   0.000000e+00   0.000000e+00   1.755986e+00   1.000000e+00   1.755986e+00   1.755986e+00
1     1.299656e+00   1.000000e+00   6.856277e-12   0.000000e+00   0.000000e+00   0.000000e+00   2.382797e+00   1.000000e+00   2.382797e+00   2.382797e+00
1     1.399416e+00   1.000000e+00   8.104375e-12   0.000000e+00   0.000000e+00   0.000000e+00   3.009604e+00   1.000000e+00   3.009604e+00   3.009604e+00
1     1.499818e+00   1.000000e+00   8.566834e-12   0.000000e+00   0.000000e+00   0.000000e+00   3.640451e+00   1.000000e+00   3.640451e+00   3.640451e+00
1     1.599577e+00   1.000000e+00   8.180004e-12   0.000000e+00   0.000000e+00   0.000000e+00   4.267251e+00   1.000000e+00   4.267251e+00   4.267251e+00
