# id: Particle id
# t: time in code units
# a: semi-major axis in code units
# e: eccentricity 
# i: inclination in rad [0, pi]
# Omega: longitude of ascending node in rad [0, 2pi]
# omega: argument of pericentre in rad [0, 2pi]
# f: true anomaly in rad [0, 2pi]
# P: period in code units
# E: eccentric anomaly in rad [0, 2pi]
# M: mean anomaly in rad [0, 2pi]
#id   t              a              e              i              Omega          omega          f              P              E              M           
1     0.000000e+00   1.000000e+00   3.336989e-16   0.000000e+00   0.000000e+00   0.000000e+00   5.000000e-01   1.000000e+00   5.000000e-01   5.000000e-01
1     9.986757e-01   1.000000e+00   1.065204e-10   0.000000e+00   0.000000e+00   0.000000e+00   4.916790e-01   1.000000e+00   4.916790e-01   4.916790e-01
1     1.998879e+00   1.000000e+00   1.058109e-10   0.000000e+00   0.000000e+00   0.000000e+00   4.929567e-01   1.000000e+00   4.929567e-01   4.929567e-01
1     2.999162e+00   1.000000e+00   1.061652e-10   0.000000e+00   0.000000e+00   0.000000e+00   4.947344e-01   1.000000e+00   4.947344e-01   4.947344e-01
1     3.999463e+00   1.000000e+00   1.060093e-10   0.000000e+00   0.000000e+00   0.000000e+00   4.966258e-01   1.000000e+00   4.966258e-01   4.966258e-01
1     4.999762e+00   1.000000e+00   1.059817e-10   0.000000e+00   0.000000e+00   0.000000e+00   4.985027e-01   1.000000e+00   4.985027e-01   4.985027e-01
1     5.998031e+00   1.000000e+00   1.074984e-10   0.000000e+00   0.000000e+00   0.000000e+00   4.876272e-01   1.000000e+00   4.876272e-01   4.876272e-01
1     6.998334e+00   1.000000e+00   1.073652e-10   0.000000e+00   0.000000e+00   0.000000e+00   4.895351e-01   1.000000e+00   4.895351e-01   4.895351e-01
1     7.998645e+00   1.000000e+00   1.072457e-10   0.000000e+00   0.000000e+00   0.000000e+00   4.914874e-01   1.000000e+00   4.914874e-01   4.914874e-01
1     8.998951e+00   1.000000e+00   1.065722e-10   0.000000e+00   0.000000e+00   0.000000e+00   4.934093e-01   1.000000e+00   4.934093e-01   4.934093e-01
1     9.999258e+00   1.000000e+00   1.063673e-10   0.000000e+00   0.000000e+00   0.000000e+00   4.953359e-01   1.000000e+00   4.953359e-01   4.953359e-01
1     1.099957e+01   1.000000e+00   1.061395e-10   0.000000e+00   0.000000e+00   0.000000e+00   4.972669e-01   1.000000e+00   4.972669e-01   4.972669e-01
